treatment,outcome,primary,controls,n,n_treated,cpt_stat,cpt_p,balance_result,est_dim,se_dim,est_ipw,se_ipw,est_outcome,se_outcome,est_dr,se_dr,overlap_flag,n_extreme,dr_z,dr_p,dr_sig,dim_attenuation_pct
National retrospective economic pessimism,Racial resentment index,TRUE,OLS (small),3946,2610,0.7850565921950796,9.99000999000999e-4,FAIL,1.1992980036096372,0.03401037374368332,0.3933415397011397,0.08702541307387242,0.2778288759656631,0.02827448213117268,0.35533857235184385,0.06095460794083162,TRUE,522,5.82956046074104,5.557355940445458e-9,TRUE,70.4
National retrospective economic pessimism,Racial resentment index,TRUE,CF (expanded),3946,2610,0.8388415486570754,9.99000999000999e-4,FAIL,1.1992980036096372,0.03401037374368332,0.32875935655205596,0.06301968686453359,0.12722266778241922,0.022581574149463348,0.13517263054186268,0.042316459731082036,TRUE,1085,3.1943274886622066,0.0014015702395213149,TRUE,88.7
National retrospective economic pessimism,Welfare spending opposition,FALSE,OLS (small),3946,2610,0.7850565921950796,9.99000999000999e-4,FAIL,0.46533886250487444,0.013944869834563396,0.21566858534535965,0.03560064955222505,0.15741409157999972,0.012763324471171658,0.20449915984467845,0.02743682015767727,TRUE,522,7.453457021237799,9.092562771700659e-14,TRUE,56.1
National retrospective economic pessimism,Welfare spending opposition,FALSE,CF (expanded),3946,2610,0.8388415486570754,9.99000999000999e-4,FAIL,0.46533886250487444,0.013944869834563396,0.14520052029044273,0.03016599608438805,0.022164043969635467,0.007214084200058982,0.034747020838975205,0.014646975445649529,TRUE,1085,2.37230006754028,0.017677727529385838,TRUE,92.5
National retrospective economic pessimism,Aid to poor opposition,FALSE,OLS (small),3946,2610,0.7850565921950796,9.99000999000999e-4,FAIL,0.3379534035377512,0.012225730345883763,0.19840605360316715,0.03266849422170325,0.13040708072886492,0.011687228906988006,0.19597080425789315,0.027794326982460493,TRUE,522,7.050748319308462,1.7795812289733516e-12,TRUE,42
National retrospective economic pessimism,Aid to poor opposition,FALSE,CF (expanded),3946,2610,0.8388415486570754,9.99000999000999e-4,FAIL,0.3379534035377512,0.012225730345883763,0.16900428083304972,0.026657606633464684,0.06268203942177425,0.008039595763143023,0.12903571952052026,0.018082402796976663,TRUE,1085,7.135983031087812,9.609786583423189e-13,TRUE,61.8
National retrospective economic pessimism,White status / jobs threat,FALSE,OLS (small),3946,2610,0.7850565921950796,9.99000999000999e-4,FAIL,0.8244671576387455,0.03174980347593928,0.3227588269128368,0.06728978039274246,0.27161038455609515,0.029998077974501824,0.2942291336755007,0.060152603946017257,TRUE,522,4.891378167760629,1.001323662435945e-6,TRUE,64.3
National retrospective economic pessimism,White status / jobs threat,FALSE,CF (expanded),3946,2610,0.8388415486570754,9.99000999000999e-4,FAIL,0.8244671576387455,0.03174980347593928,0.2992714458560637,0.05810172321724508,0.04918536311489695,0.028322161449448754,0.1268621248900425,0.050892156324160796,TRUE,1085,2.4927637980592965,0.012675313520273774,TRUE,84.6
National retrospective economic pessimism,Government favors Blacks (amount),FALSE,OLS (small),3946,2610,0.7850565921950796,9.99000999000999e-4,FAIL,1.1812960286323897,0.046925876185354404,0.38924869798105993,0.0961416328368549,0.2540654655229845,0.04273712649657026,0.35433695819311245,0.07925794819053611,TRUE,522,4.470680433731219,7.797113046570445e-6,TRUE,70
National retrospective economic pessimism,Government favors Blacks (amount),FALSE,CF (expanded),3946,2610,0.8388415486570754,9.99000999000999e-4,FAIL,1.1812960286323897,0.046925876185354404,0.19279674545533096,0.0924872360231921,0.11976524616186957,0.03871994350373352,0.014738271260260461,0.0840820402902396,TRUE,1085,0.17528441519004512,0.8608561570641182,FALSE,98.8
Personal financial retrospective pessimism,Racial resentment index,TRUE,OLS (small),3946,2366,0.6720263723601143,9.99000999000999e-4,FAIL,0.7025208117101975,0.036364668560791846,0.21723991374348364,0.040996009704550536,0.15411516459731534,0.02812854951000536,0.1535283850613196,0.03020918103519889,FALSE,0,5.082176338459247,3.73134763190676e-7,TRUE,78.1
Personal financial retrospective pessimism,Racial resentment index,TRUE,CF (expanded),3946,2366,0.7034164130392768,9.99000999000999e-4,FAIL,0.7025208117101975,0.036364668560791846,0.13772496113558252,0.04080926576088807,0.06929513077571252,0.022537517385656004,0.008055535590562272,0.024681594732824785,FALSE,0,0.32637824572368396,0.7441381945787342,FALSE,98.9
Personal financial retrospective pessimism,Welfare spending opposition,FALSE,OLS (small),3946,2366,0.6720263723601143,9.99000999000999e-4,FAIL,0.25203141551729746,0.015568464912635143,0.08604873056027035,0.017782247381602168,0.06345373104233305,0.01327009591248661,0.06748888233790697,0.014700748832597671,FALSE,0,4.590846568867026,4.414517759267991e-6,TRUE,73.2
Personal financial retrospective pessimism,Welfare spending opposition,FALSE,CF (expanded),3946,2366,0.7034164130392768,9.99000999000999e-4,FAIL,0.25203141551729746,0.015568464912635143,0.045430994757483065,0.017374239819891935,-2.9477328650436376e-4,0.00749482833713709,-0.003829283225001248,0.008320804281563307,FALSE,0,-0.46020590022600616,0.645368436316403,FALSE,101.5
Personal financial retrospective pessimism,Aid to poor opposition,FALSE,OLS (small),3946,2366,0.6720263723601143,9.99000999000999e-4,FAIL,0.23970649603561173,0.013685317406349888,0.1345263889625071,0.01617071858732184,0.1084961538057214,0.012610244056305453,0.12153929799058794,0.014451398065969148,FALSE,0,8.410210377969905,4.0927596410849634e-17,TRUE,49.3
Personal financial retrospective pessimism,Aid to poor opposition,FALSE,CF (expanded),3946,2366,0.7034164130392768,9.99000999000999e-4,FAIL,0.23970649603561173,0.013685317406349888,0.09969487390437012,0.016852295013158252,0.05430461761336979,0.00849075247692841,0.0622360323130577,0.009970436366702844,FALSE,0,6.242057019781044,4.3185345464156904e-10,TRUE,74
Personal financial retrospective pessimism,White status / jobs threat,FALSE,OLS (small),3946,2366,0.6720263723601143,9.99000999000999e-4,FAIL,0.5418775479632343,0.03386880557534056,0.2246607031442942,0.038785543425463025,0.1875131331366447,0.030748252150954437,0.17686625722552404,0.03425076129490075,FALSE,0,5.163863532921117,2.419040869256685e-7,TRUE,67.4
Personal financial retrospective pessimism,White status / jobs threat,FALSE,CF (expanded),3946,2366,0.7034164130392768,9.99000999000999e-4,FAIL,0.5418775479632343,0.03386880557534056,0.1583255410385378,0.03894279019551047,0.04610109164761007,0.028939703354349713,0.042944876709350925,0.032453421060022025,FALSE,0,1.323277340466669,0.18574316433019222,FALSE,92.1
Personal financial retrospective pessimism,Government favors Blacks (amount),FALSE,OLS (small),3946,2366,0.6720263723601143,9.99000999000999e-4,FAIL,0.7619311555046695,0.04823843455542655,0.26720693929135025,0.05401448505495782,0.18892041845540544,0.042094695093306385,0.1961856510185044,0.045346060281629214,FALSE,0,4.326410051944115,1.5155916758248845e-5,TRUE,74.3
Personal financial retrospective pessimism,Government favors Blacks (amount),FALSE,CF (expanded),3946,2366,0.7034164130392768,9.99000999000999e-4,FAIL,0.7619311555046695,0.04823843455542655,0.18749007643842516,0.05544473491613573,0.10922246203388783,0.038276350288849674,0.03457504303495717,0.04237590165938034,FALSE,0,0.8159128580407121,0.4145499775485589,FALSE,95.5
Personal financial prospective worry,Racial resentment index,TRUE,OLS (small),3946,1637,0.6091267128089513,9.99000999000999e-4,FAIL,0.49178799698293485,0.035994085876157114,0.11177680480374412,0.0403205893121942,0.06460055518708312,0.027685066460857367,0.061110867314130145,0.028836929954595074,FALSE,0,2.1191877016850165,0.034074607220354755,TRUE,87.6
Personal financial prospective worry,Racial resentment index,TRUE,CF (expanded),3946,1637,0.634340356191404,9.99000999000999e-4,FAIL,0.49178799698293485,0.035994085876157114,0.0739302127472307,0.03921880392374151,0.0024222709175111073,0.02246419414554715,-0.04611124677417428,0.022962663339694142,FALSE,0,-2.0080966259024757,0.04463302475559474,TRUE,109.4
Personal financial prospective worry,Welfare spending opposition,FALSE,OLS (small),3946,1637,0.6091267128089513,9.99000999000999e-4,FAIL,0.2202830125034626,0.015766584552938234,0.08687211995893399,0.01711663499823882,0.06906149603113537,0.013402522083740544,0.06839815377066971,0.013950500374189009,FALSE,0,4.902917596935725,9.442360118695484e-7,TRUE,68.9
Personal financial prospective worry,Welfare spending opposition,FALSE,CF (expanded),3946,1637,0.634340356191404,9.99000999000999e-4,FAIL,0.2202830125034626,0.015766584552938234,0.03157931811623997,0.016588202677192295,-0.021111437546911402,0.007879496773678718,-0.032013342955466886,0.007718585874958873,FALSE,0,-4.147565820227071,3.3602888127746e-5,TRUE,114.5
Personal financial prospective worry,Aid to poor opposition,FALSE,OLS (small),3946,1637,0.6091267128089513,9.99000999000999e-4,FAIL,0.18323613768121383,0.014987918830474019,0.08654106451237713,0.015492352228008401,0.07300968693147859,0.013693271361835855,0.073147237244547,0.013619237631392223,FALSE,0,5.370876052264721,7.835505335586172e-8,TRUE,60.1
Personal financial prospective worry,Aid to poor opposition,FALSE,CF (expanded),3946,1637,0.634340356191404,9.99000999000999e-4,FAIL,0.18323613768121383,0.014987918830474019,0.08100305074431462,0.015295631187483203,0.029256612346853738,0.009141577956003379,0.03586659905604791,0.009032667181360143,FALSE,0,3.970765039374239,7.164220738585225e-5,TRUE,80.4
Personal financial prospective worry,White status / jobs threat,FALSE,OLS (small),3946,1637,0.6091267128089513,9.99000999000999e-4,FAIL,0.3090961955197491,0.03521910137677203,0.0702521007000432,0.03716101905578032,0.05123522866916117,0.03197484520209403,0.039613581481302076,0.032453713631786466,FALSE,0,1.2206178291566285,0.2222307525776667,FALSE,87.2
Personal financial prospective worry,White status / jobs threat,FALSE,CF (expanded),3946,1637,0.634340356191404,9.99000999000999e-4,FAIL,0.3090961955197491,0.03521910137677203,0.060738457342305964,0.036850099172519,-0.024849680367078283,0.030105904162013572,-0.025286008682673774,0.0309284667452874,FALSE,0,-0.8175642488493753,0.4136060486883428,FALSE,108.2
Personal financial prospective worry,Government favors Blacks (amount),FALSE,OLS (small),3946,1637,0.6091267128089513,9.99000999000999e-4,FAIL,0.5592993129590635,0.04899720705580846,0.1579691952338046,0.053222537976159084,0.10462273784213198,0.04268287630459799,0.10426976834127831,0.04447123401105563,FALSE,0,2.3446565102141457,0.019044615605432146,TRUE,81.4
Personal financial prospective worry,Government favors Blacks (amount),FALSE,CF (expanded),3946,1637,0.634340356191404,9.99000999000999e-4,FAIL,0.5592993129590635,0.04899720705580846,0.1577639882240007,0.05146233805264923,0.053092325128339675,0.03884070236003492,0.032893458627075364,0.03921243860408908,FALSE,0,0.8388526650736082,0.40155199296256233,FALSE,94.1
National prospective economic pessimism,Racial resentment index,TRUE,OLS (small),3946,1738,0.6317835947946723,9.99000999000999e-4,FAIL,0.6291979543647814,0.03550174397908669,0.18623574234680967,0.04357049323988732,0.17299432142224208,0.027529960138236352,0.17549534650994825,0.030365737052649302,FALSE,0,5.7793870178638365,7.497328171678872e-9,TRUE,72.1
National prospective economic pessimism,Racial resentment index,TRUE,CF (expanded),3946,1738,0.6805005640311296,9.99000999000999e-4,FAIL,0.6291979543647814,0.03550174397908669,0.07983344509455997,0.05329747425010287,0.062026272080887956,0.022420831521756432,0.03424497199342053,0.028928695500573892,TRUE,215,1.1837717325601902,0.23650343474723312,FALSE,94.6
National prospective economic pessimism,Welfare spending opposition,FALSE,OLS (small),3946,1738,0.6317835947946723,9.99000999000999e-4,FAIL,0.24756612631543917,0.015543783600517152,0.10360733680152595,0.018059786862827845,0.0957251197468038,0.013302002115372098,0.09778251352522398,0.01462139177375534,FALSE,0,6.6876337792096265,2.2680784798991764e-11,TRUE,60.5
National prospective economic pessimism,Welfare spending opposition,FALSE,CF (expanded),3946,1738,0.6805005640311296,9.99000999000999e-4,FAIL,0.24756612631543917,0.015543783600517152,0.014633868092382993,0.02043567003144788,0.00387216406400553,0.007788702832924917,-0.008385262445456437,0.00808796044719059,TRUE,215,-1.0367585870637037,0.29984838022126575,FALSE,103.4
National prospective economic pessimism,Aid to poor opposition,FALSE,OLS (small),3946,1738,0.6317835947946723,9.99000999000999e-4,FAIL,0.28041299761511695,0.014506570457599084,0.18103320488532015,0.01637510975555966,0.17084239888463756,0.01332540738953534,0.1795508191891546,0.014226897530186966,FALSE,0,12.62051819858683,1.6274681857028645e-36,TRUE,36
National prospective economic pessimism,Aid to poor opposition,FALSE,CF (expanded),3946,1738,0.6805005640311296,9.99000999000999e-4,FAIL,0.28041299761511695,0.014506570457599084,0.1292307492737711,0.017866197103709663,0.07865219928546605,0.008920027784133427,0.08951455751282412,0.009854203296682029,TRUE,215,9.083895959703229,1.0475641065678221e-19,TRUE,68.1
National prospective economic pessimism,White status / jobs threat,FALSE,OLS (small),3946,1738,0.6317835947946723,9.99000999000999e-4,FAIL,0.43373765864478475,0.03486705090281387,0.1461118399789956,0.039559292879920466,0.14889086482349115,0.03179626149393962,0.1366830341945726,0.03438607510960129,FALSE,0,3.9749530517487854,7.039314087609104e-5,TRUE,68.5
National prospective economic pessimism,White status / jobs threat,FALSE,CF (expanded),3946,1738,0.6805005640311296,9.99000999000999e-4,FAIL,0.43373765864478475,0.03486705090281387,0.059655261635066306,0.04318192676551758,0.03047690033812993,0.02997604435207038,0.029474858078821952,0.03427791935097566,TRUE,215,0.8598788560363131,0.38985582495606735,FALSE,93.2
National prospective economic pessimism,Government favors Blacks (amount),FALSE,OLS (small),3946,1738,0.6317835947946723,9.99000999000999e-4,FAIL,0.686058437984689,0.04841366924905726,0.21840898116550103,0.05690064731135802,0.21765542062364396,0.04209971564913741,0.20987692636480185,0.04681925756199032,FALSE,0,4.482705136597212,7.370273626546955e-6,TRUE,69.4
National prospective economic pessimism,Government favors Blacks (amount),FALSE,CF (expanded),3946,1738,0.6805005640311296,9.99000999000999e-4,FAIL,0.686058437984689,0.04841366924905726,0.07129541235542212,0.06657252847795415,0.10734610033193802,0.03842683817537205,0.02618652367952125,0.04634001551514694,TRUE,215,0.5650952721619567,0.5720089640965841,FALSE,96.2
